"Freq [GHz]","re(S(FloquetPort1,FloquetPort1)) []","im(S(FloquetPort1,FloquetPort1)) []"
1.05488219528781,-0.00569802461326908,-0.037357378820266
1.05544221768871,-0.00570402152051325,-0.0373766585534302
1.0560022400896,-0.00571002152370088,-0.037395937414237
1.0565622624905,-0.00571602462273094,-0.0374152154022328
1.0571222848914,-0.00572203081749966,-0.0374344925169635
1.05768230729229,-0.00572804010790541,-0.0374537687579744
1.05824232969319,-0.00573405249384542,-0.0374730441248123
1.05880235209408,-0.00574006797521769,-0.0374923186170224
1.05936237449498,-0.00574608655191936,-0.0375115922341514
1.05992239689588,-0.00575210822384861,-0.0375308649757446
1.06048241929677,-0.00575813299090193,-0.0375501368413479
1.06104244169767,-0.00576416085297704,-0.0375694078305078
1.06160246409856,-0.00577019180997136,-0.0375886779427695
1.06216248649946,-0.00577622586178271,-0.0376079471776797
1.06272250890036,-0.00578226300830723,-0.037627215534784
